STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00042319,"DEATH VALLEY, CA US",1/1/2018,0,65,34,42
USC00042319,"DEATH VALLEY, CA US",1/2/2018,0,61,38,46
USC00042319,"DEATH VALLEY, CA US",1/3/2018,0,69,34,54
USC00042319,"DEATH VALLEY, CA US",1/4/2018,0,69,39,48
USC00042319,"DEATH VALLEY, CA US",1/5/2018,0,74,40,57
USC00042319,"DEATH VALLEY, CA US",1/6/2018,0,74,47,65
USC00042319,"DEATH VALLEY, CA US",1/7/2018,0,77,54,60
USC00042319,"DEATH VALLEY, CA US",1/8/2018,0.07,62,52,52
USC00042319,"DEATH VALLEY, CA US",1/9/2018,0.4,60,51,51
USC00042319,"DEATH VALLEY, CA US",1/10/2018,0,64,49,50
USC00042319,"DEATH VALLEY, CA US",1/11/2018,0,67,45,51
USC00042319,"DEATH VALLEY, CA US",1/12/2018,0,68,44,51
USC00042319,"DEATH VALLEY, CA US",1/13/2018,0,73,45,55
USC00042319,"DEATH VALLEY, CA US",1/14/2018,0,72,44,55
USC00042319,"DEATH VALLEY, CA US",1/15/2018,0,73,46,55
USC00042319,"DEATH VALLEY, CA US",1/16/2018,0,70,49,54
USC00042319,"DEATH VALLEY, CA US",1/17/2018,0,71,47,54
USC00042319,"DEATH VALLEY, CA US",1/18/2018,0,71,46,53
USC00042319,"DEATH VALLEY, CA US",1/19/2018,0.01,78,48,56
USC00042319,"DEATH VALLEY, CA US",1/20/2018,0,68,54,56
USC00042319,"DEATH VALLEY, CA US",1/21/2018,0,69,46,47
USC00042319,"DEATH VALLEY, CA US",1/22/2018,0,66,39,45
USC00042319,"DEATH VALLEY, CA US",1/23/2018,0,69,37,46
USC00042319,"DEATH VALLEY, CA US",1/24/2018,0,69,37,47
USC00042319,"DEATH VALLEY, CA US",1/25/2018,0,75,42,52
USC00042319,"DEATH VALLEY, CA US",1/26/2018,0,69,42,53
USC00042319,"DEATH VALLEY, CA US",1/27/2018,0,69,38,50
USC00042319,"DEATH VALLEY, CA US",1/28/2018,0,81,44,56
USC00042319,"DEATH VALLEY, CA US",1/29/2018,0,81,48,61
USC00042319,"DEATH VALLEY, CA US",1/30/2018,0,79,48,60
USC00042319,"DEATH VALLEY, CA US",1/31/2018,0,78,44,53
USC00042319,"DEATH VALLEY, CA US",2/1/2018,0,79,45,52
USC00042319,"DEATH VALLEY, CA US",2/2/2018,0,81,45,59
USC00042319,"DEATH VALLEY, CA US",2/3/2018,0,81,46,59
USC00042319,"DEATH VALLEY, CA US",2/4/2018,0,87,57,61
USC00042319,"DEATH VALLEY, CA US",2/5/2018,0,85,47,63
USC00042319,"DEATH VALLEY, CA US",2/6/2018,0,88,51,70
USC00042319,"DEATH VALLEY, CA US",2/7/2018,0,83,53,60
USC00042319,"DEATH VALLEY, CA US",2/8/2018,0,85,48,57
